,rank,title,artist
0,1,First Class,Jack Harlow
1,2,As It Was,Harry Styles
2,3,Wait For U,Future Featuring Drake & Tems
3,4,Moscow Mule,Bad Bunny
4,5,Titi Me Pregunto,Bad Bunny
5,6,Despues de La Playa,Bad Bunny
6,7,Heat Waves,Glass Animals
7,8,Big Energy,Latto
8,9,About Damn Time,Lizzo
9,10,Me Porto Bonito,Bad Bunny & Chencho Corleone
10,11,Enemy,Imagine Dragons X JID
11,12,Thought You Should Know,Morgan Wallen
12,13,Stay,The Kid LAROI & Justin Bieber
13,14,Party,Bad Bunny & Rauw Alejandro
14,15,The Heart Part 5,Kendrick Lamar
15,16,Un Ratito,Bad Bunny
16,17,Ghost,Justin Bieber
17,18,Tarot,Bad Bunny & Jhay Cortez
18,19,Puffin On Zootiez,Future
19,20,Woman,Doja Cat
20,21,Dua Lipa,Jack Harlow
21,22,Yo No Soy Celoso,Bad Bunny
22,23,Churchill Downs,Jack Harlow Featuring Drake
23,24,Bad Habits,Ed Sheeran
24,25,Super Gremlin,Kodak Black
25,26,Ojitos Lindos,Bad Bunny & Bomba Estereo
26,27,Provenza,Karol G
27,28,Thats What I Want,Lil Nas X
28,29,Shivers,Ed Sheeran
29,30,Cold Heart (PNAU Remix),Elton John & Dua Lipa
30,31,Neverita,Bad Bunny
31,32,La Corriente,Bad Bunny & Tony Dize
32,33,Wasted On You,Morgan Wallen
33,34,Efecto,Bad Bunny
34,35,Boyfriend,Dove Cameron
35,36,Bam Bam,Camila Cabello Featuring Ed Sheeran
36,37,'Til You Can't,Cody Johnson
37,38,MAMIII,Becky G X Karol G
38,39,Sweetest Pie,Megan Thee Stallion & Dua Lipa
39,40,AA,Walker Hayes
40,41,abcdefu,GAYLE
41,42,Industry Baby,Lil Nas X & Jack Harlow
42,43,Numb Little Bug,Em Beihold
43,44,Aguacero,Bad Bunny
44,45,Dos Mil 16,Bad Bunny
45,46,Easy On Me,Adele
46,47,Need To Know,Doja Cat
47,48,Trouble With A Heartbreak,Jason Aldean
48,49,Otro Atardecer,Bad Bunny & The Marias
49,50,This Love (Taylor's Version),Taylor Swift
50,51,Andrea,Bad Bunny & Buscabulla
51,52,Doin' This,Luke Combs
52,53,In A Minute,Lil Baby
53,54,El Apagon,Bad Bunny
54,55,Un Verano Sin Ti,Bad Bunny
55,56,Un Coco,Bad Bunny
56,57,To The Moon!,JNR CHOI & Sam Tompkins
57,58,Thousand Miles,The Kid LAROI
58,59,Me Fui de Vacaciones,Bad Bunny
59,60,Ensename A Bailar,Bad Bunny
60,61,Love You Better,Future
61,62,Hrs And Hrs,Muni Long
62,63,I'm On One,Future Featuring Drake
63,64,712PM,Future
64,65,Nail Tech,Jack Harlow
65,66,Take My Name,Parmalee
66,67,Never Say Never,Cole Swindell / Lainey Wilson
67,68,She's All I Wanna Be,Tate McRae
68,69,Right On,Lil Baby
69,70,We Don't Talk About Bruno,"Carolina Gaitan, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz & Encanto Cast"
70,71,Damn Strait,Scotty McCreery
71,72,When You're Gone,Shawn Mendes
72,73,If I Was A Cowboy,Miranda Lambert
73,74,Agosto,Bad Bunny
74,75,2step,Ed Sheeran Featuring Lil Baby
75,76,Freaky Deaky,Tyga X Doja Cat
76,77,Something In The Orange,Zach Bryan
77,78,What Happened To Virgil,Lil Durk Featuring Gunna
78,79,I'm Dat N***a,Future
79,80,Never Wanted To Be That Girl,Carly Pearce & Ashley McBryde
80,81,Get Into It (Yuh),Doja Cat
81,82,Hold My Hand,Lady Gaga
82,83,Slow Down Summer,Thomas Rhett
83,84,Whiskey On You,Nate Smith
84,85,Don't Think Jesus,Morgan Wallen
85,86,Peru,Fireboy DML & Ed Sheeran
86,87,Massaging Me,Future
87,88,I'd Do Anything To Make You Smile,Jack Harlow
88,89,Pushin P,Gunna & Future Featuring Young Thug
89,90,Flower Shops,ERNEST Featuring Morgan Wallen
90,91,Me Or Sum,"Nardo Wick, Lil Baby & Future"
91,92,Beers On Me,"Dierks Bentley, BRELAND & HARDY"
92,93,Flowers,Lauren Spencer-Smith
93,94,Fingers Crossed,Lauren Spencer-Smith
94,95,The Motto,Tiesto & Ava Max
95,96,Frozen,Lil Baby
96,97,Young Harleezy,Jack Harlow
97,98,23,Sam Hunt
98,99,Poison,Jack Harlow Featuring Lil Wayne
99,100,Honest,Justin Bieber & Don Toliver
